iter	Logloss	AUC
0	0.6261933345	0.8822387402
1	0.5669712678	0.8832652034
2	0.5131915395	0.8927922922
3	0.4652671844	0.8933329203
4	0.4227869	0.8951658484
5	0.3851822622	0.8959919166
6	0.3520034914	0.8959674081
7	0.3225332625	0.8960867643
8	0.2958843645	0.8983215427
9	0.2723912806	0.8991414291
10	0.2516010462	0.89914976
11	0.2330936378	0.8989259433
12	0.2164416444	0.898873925
13	0.2017348257	0.8989132432
14	0.1884528536	0.8989820318
15	0.1766901812	0.898989574
16	0.1661181849	0.8986088906
17	0.1567318	0.8980780994
18	0.1479659784	0.8982808389
19	0.1401976531	0.8993148808
20	0.1328577424	0.9013979838
21	0.1267341742	0.9012372312
22	0.1211802642	0.9011875436
23	0.115990729	0.9012868514
24	0.1114361753	0.9012669192
25	0.1072975228	0.9019168131
26	0.1030890718	0.9028620019
27	0.09936639633	0.9032004343
28	0.09624152154	0.9033847132
29	0.09335735434	0.9033341592
30	0.09074026551	0.9030493887
31	0.08847456394	0.9030079337
32	0.08639840971	0.9030198687
33	0.08437675914	0.9030858809
34	0.08260545213	0.9030743616
35	0.08091621833	0.902924899
36	0.07948967628	0.9029075649
37	0.07781007173	0.9031040853
38	0.07650290607	0.9033973785
39	0.07504403716	0.903451363
40	0.0739652862	0.9039100396
41	0.07270801138	0.9039795708
42	0.07158771198	0.9041243537
43	0.07067895786	0.9042554955
44	0.06990057774	0.9042472121
45	0.06921829331	0.9042222451
46	0.06834947776	0.9042645785
47	0.06772516605	0.9045039379
48	0.06710469773	0.9046193538
49	0.06643175295	0.9046453828
50	0.06592097931	0.9049317176
51	0.06548411184	0.9049909508
52	0.0650383896	0.9050962129
53	0.06462479617	0.9052408806
54	0.0642234801	0.9054299692
55	0.0638874536	0.9055614449
56	0.06358475012	0.9056595522
57	0.0633104839	0.9057254227
58	0.06302626193	0.9058649773
59	0.06276138068	0.9059683824
60	0.06250798304	0.9060665885
61	0.06219695476	0.9063863707
62	0.06198273305	0.9065096895
63	0.06179370246	0.9065657148
64	0.0616230249	0.9066347986
65	0.06142549819	0.9068750484
66	0.06125615292	0.9070275554
67	0.06109303121	0.907150765
68	0.06096421394	0.9071693452
69	0.0606687858	0.9074098954
70	0.06052167524	0.9075980606
71	0.0603825833	0.9078437618
72	0.0602616399	0.9079795742
73	0.06016329434	0.9080417991
74	0.06004076834	0.9083796254
75	0.05995977933	0.9084067587
76	0.05987861368	0.9084521385
77	0.05979392209	0.9085570093
78	0.05959250618	0.9086490638
79	0.05938072279	0.9088615504
80	0.0594225647	0.9082099327
81	0.05934968563	0.9083298315
82	0.05916994718	0.9085641087
83	0.0591238827	0.9085765188
84	0.05907509276	0.9086563978
85	0.05902888077	0.9087374437
86	0.05889875632	0.9089590438
87	0.05923661051	0.9082150378
88	0.05910694121	0.9082601146
89	0.0591009087	0.9086444792
90	0.05905078179	0.908719229
91	0.0590178496	0.9087301614
92	0.05895917711	0.9089226822
